date,start_hour,end_hour,solar_mwh,wind_mwh,price_euros_mwh,solarSubventions_euros,windSubventions_euros
2017-01-01,00:00,01:00,0,604,58.82,0,17745.52
2017-01-01,01:00,02:00,0,633,58.23,0,18971.010000000002
2017-01-01,02:00,03:00,0,627,51.95,0,22728.75
2017-01-01,03:00,04:00,0,609,47.27,0,24926.37
2017-01-01,04:00,05:00,0,637,45.49,0,27206.27
2017-01-01,05:00,06:00,0,663,44.5,0,28973.100000000002
2017-01-01,06:00,07:00,0,683,44.5,0,29847.100000000002
2017-01-01,07:00,08:00,0,749,44.72,0,32566.520000000004
2017-01-01,08:00,09:00,99,801,44.22,27866.52,35227.98
2017-01-01,09:00,10:00,423,832,42.06,119979.72,38388.48
2017-01-01,10:00,11:00,1005,867,45.7,281400,36847.5
2017-01-01,11:00,12:00,1399,907,47.91,388628.20999999996,36543.030000000006
2017-01-01,12:00,13:00,1611,929,49.57,444845.43,35887.270000000004
2017-01-01,13:00,14:00,1578,949,48.69,437121.77999999997,37494.990000000005
2017-01-01,14:00,15:00,1314,946,46.91,366330.05999999994,39060.340000000004
2017-01-01,15:00,16:00,769,918,46.51,214697.11,38271.420000000006
2017-01-01,16:00,17:00,257,916,46.52,71749.26,38178.88
2017-01-01,17:00,18:00,69,966,51.59,18913.59,35365.26
2017-01-01,18:00,19:00,0,964,59.07,0,28081.320000000003
2017-01-01,19:00,20:00,0,965,62.1,0,25186.5
2017-01-01,20:00,21:00,0,969,56.26,0,30949.860000000004
2017-01-01,21:00,22:00,0,923,55,0,30643.600000000002
2017-01-01,22:00,23:00,0,842,56.02,0,27095.56
2017-01-01,23:00,00:00,0,776,52,0,28091.2
2017-01-02,00:00,01:00,0,718,54.99,0,23844.78
2017-01-02,01:00,02:00,0,700,50.18,0,26614.000000000004
2017-01-02,02:00,03:00,0,642,49.11,0,25095.780000000002
2017-01-02,03:00,04:00,0,609,45.78,0,25833.780000000002
