date,start_hour,end_hour,solar_mwh,wind_mwh,price_euros_mwh,solarSubventions_euros,windSubventions_euros
2016-01-01,00:00,01:00,0,2189,23.86,0,141059.16
2016-01-01,01:00,02:00,0,1753,22.39,0,115540.23
2016-01-01,02:00,03:00,0,1430,20.59,0,96825.29999999999
2016-01-01,03:00,04:00,0,1214,16.81,0,86788.86
2016-01-01,04:00,05:00,0,1031,17.41,0,73087.59
2016-01-01,05:00,06:00,0,918,17.02,0,65435.04
2016-01-01,06:00,07:00,0,878,15.86,0,63602.32
2016-01-01,07:00,08:00,0,1003,18.16,0,70350.42
2016-01-01,08:00,09:00,100,1173,17.73,32377,82778.60999999999
2016-01-01,09:00,10:00,356,1500,19.77,114535.88,102795
2016-01-01,10:00,11:00,879,1836,23.75,279302.25,118513.79999999999
2016-01-01,11:00,12:00,1281,2199,26.03,404117.07,136931.72999999998
2016-01-01,12:00,13:00,1424,2544,27.06,447762.56,155794.56
2016-01-01,13:00,14:00,1435,2768,26.59,451895.85000000003,170813.27999999997
2016-01-01,14:00,15:00,1171,3139,25,370621.5,198698.69999999998
2016-01-01,15:00,16:00,686,3638,20.06,220507.84,248257.12
2016-01-01,16:00,17:00,228,3903,19.43,73431.95999999999,268799.61000000004
2016-01-01,17:00,18:00,68,4497,24.57,21551.24,286593.81
2016-01-01,18:00,19:00,0,5129,33.11,0,283069.51
2016-01-01,19:00,20:00,0,5264,35.34,0,278781.43999999994
2016-01-01,20:00,21:00,0,5404,33.07,0,298462.92
2016-01-01,21:00,22:00,0,5493,29.52,0,322878.54
2016-01-01,22:00,23:00,0,5353,30.1,0,311544.6
2016-01-01,23:00,00:00,0,5255,24.57,0,334901.14999999997
2016-01-02,00:00,01:00,0,5038,22.2,0,333011.8
2016-01-02,01:00,02:00,0,4724,16.57,0,338852.51999999996
2016-01-02,02:00,03:00,0,4669,15.35,0,340603.55
2016-01-02,03:00,04:00,0,4612,12.77,0,348344.36
2016-01-02,04:00,05:00,0,4625,11.27,0,356263.75
2016-01-02,05:00,06:00,0,4619,11.91,0,352845.41
2016-01-02,06:00,07:00,0,4470,12.62,0,338289.6
2016-01-02,07:00,08:00,0,4520,14.17,0,335067.6
2016-01-02,08:00,09:00,87,4638,17.73,28167.989999999998,327303.66
2016-01-02,09:00,10:00,274,4801,20.29,88011.54,326516.00999999995
2016-01-02,10:00,11:00,648,5160,24.3,205545.6,330240
2016-01-02,11:00,12:00,955,5406,25.05,302209.75,341929.5
2016-01-02,12:00,13:00,1171,5760,29.31,365574.49,339782.39999999997
2016-01-02,13:00,14:00,1209,6000,26.31,381064.71,371939.99999999994
2016-01-02,14:00,15:00,1029,6105,22.63,328117.23,400915.35000000003
2016-01-02,15:00,16:00,672,6010,19.61,216310.08,412826.89999999997
2016-01-02,16:00,17:00,249,5976,20.65,79891.65000000001,404276.4
2016-01-02,17:00,18:00,75,5906,34.21,23046.75,319455.54
2016-01-02,18:00,19:00,0,5864,42.23,0,270154.48
2016-01-02,19:00,20:00,0,5839,37.36,0,297438.66
2016-01-02,20:00,21:00,0,5829,32.84,0,323276.33999999997
2016-01-02,21:00,22:00,0,5689,26.15,0,353571.35
2016-01-02,22:00,23:00,0,5410,30.62,0,312048.8
2016-01-02,23:00,00:00,0,5305,36.19,0,276443.55
2016-01-03,00:00,01:00,0,4956,19.65,0,340229.4
2016-01-03,01:00,02:00,0,4506,18.91,0,312671.34
2016-01-03,02:00,03:00,0,4081,14.64,0,300606.45999999996
2016-01-03,03:00,04:00,0,3663,10.12,0,286373.33999999997
2016-01-03,04:00,05:00,0,3399,7.14,0,275862.83999999997
2016-01-03,05:00,06:00,0,3279,9.41,0,258680.31
2016-01-03,06:00,07:00,0,3212,4.14,0,270321.92
2016-01-03,07:00,08:00,0,3748,7.08,0,304412.56
2016-01-03,08:00,09:00,97,4171,11.4,32019.7,320749.89999999997
2016-01-03,09:00,10:00,309,4413,17.64,100072.74,311822.57999999996
2016-01-03,10:00,11:00,639,4681,19.99,205444.88999999998,319759.11
2016-01-03,11:00,12:00,841,4984,22.11,268606.99,329890.95999999996
2016-01-03,12:00,13:00,912,5268,22.68,290763.83999999997,345686.16000000003
2016-01-03,13:00,14:00,801,5510,22,255919.5,365313
2016-01-03,14:00,15:00,641,5619,19.89,206152.01,384395.79
2016-01-03,15:00,16:00,365,5672,17.75,118168.75,400159.6
2016-01-03,16:00,17:00,147,5641,18.76,47442.78,392275.13999999996
2016-01-03,17:00,18:00,68,5696,22.21,21711.72,376448.64
2016-01-03,18:00,19:00,0,5813,26.76,0,357732.01999999996
2016-01-03,19:00,20:00,0,5812,27.23,0,354938.83999999997
2016-01-03,20:00,21:00,0,5377,25.33,0,338589.69
2016-01-03,21:00,22:00,0,5039,22.11,0,333531.41
2016-01-03,22:00,23:00,0,4594,22.57,0,301963.61999999994
2016-01-03,23:00,00:00,0,4366,21.01,0,293788.13999999996
2016-01-04,00:00,01:00,0,4447,13.78,0,331390.44
2016-01-04,01:00,02:00,0,4441,13.44,0,332453.26
2016-01-04,02:00,03:00,0,4563,11.46,0,350620.92000000004
2016-01-04,03:00,04:00,0,4574,5.55,0,378498.5
2016-01-04,04:00,05:00,0,4687,5,0,390427.1
2016-01-04,05:00,06:00,0,4787,10.05,0,374582.75
2016-01-04,06:00,07:00,0,4810,19.11,0,332803.89999999997
2016-01-04,07:00,08:00,0,4773,31.44,0,271392.77999999997
2016-01-04,08:00,09:00,91,4757,36.31,27772.29,247316.42999999996
2016-01-04,09:00,10:00,292,4783,33.46,89947.68000000001,262299.72
2016-01-04,10:00,11:00,675,4735,33.24,208075.5,260709.09999999998
2016-01-04,11:00,12:00,1053,4652,35.09,322649.73,247532.91999999998
2016-01-04,12:00,13:00,1185,4584,35,363202.5,244327.19999999998
2016-01-04,13:00,14:00,1071,4439,35,328261.5,236598.69999999998
2016-01-04,14:00,15:00,841,4119,34.94,257816.96,219789.84
